epoch,train_loss,train_acc,val_loss,val_acc
1,1.352219,0.468942,0.832908,0.656550
2,0.815610,0.647099,1.271740,0.527157
3,0.667991,0.707850,0.549735,0.768371
4,0.596100,0.733447,0.487599,0.793930
5,0.484444,0.786689,0.469851,0.800319
6,0.387393,0.853242,0.518939,0.798722
7,0.356817,0.862116,0.421706,0.854633
8,0.343681,0.868601,0.380305,0.853035
9,0.356235,0.863481,0.370959,0.862620
10,0.337445,0.860751,0.292611,0.875399
11,0.316116,0.880546,0.330497,0.853035
12,0.289701,0.889078,0.361787,0.853035
13,0.284968,0.886689,0.292757,0.881789
14,0.269161,0.893857,0.253581,0.905751
15,0.258475,0.906485,0.304687,0.881789
16,0.256188,0.903072,0.256733,0.902556
17,0.245115,0.899317,0.259464,0.894569
18,0.246188,0.904778,0.252520,0.905751
19,0.230931,0.911604,0.247346,0.904153
20,0.238750,0.911263,0.248764,0.905751
