epoch,train_loss,train_acc,val_loss,val_acc
1,1.483060,0.439036,1.002349,0.614173
2,0.918880,0.619277,0.779696,0.656918
3,0.636358,0.732048,0.576195,0.770529
4,0.469779,0.811566,0.463240,0.817773
5,0.410894,0.837349,0.341595,0.878515
6,0.333834,0.867952,0.473433,0.811024
7,0.267072,0.898795,0.411613,0.832396
8,0.276640,0.895663,0.287125,0.887514
9,0.214335,0.923855,0.284909,0.878515
10,0.208147,0.926024,0.201070,0.937008
11,0.145784,0.953494,0.140850,0.968504
12,0.124212,0.957590,0.155417,0.930259
13,0.117555,0.960241,0.152287,0.948256
14,0.101205,0.966024,0.113962,0.953881
15,0.068426,0.977831,0.094629,0.967379
16,0.057618,0.982892,0.076076,0.968504
17,0.045863,0.983614,0.055292,0.986502
18,0.041207,0.986024,0.047834,0.988751
19,0.034515,0.990361,0.045702,0.986502
20,0.035119,0.989398,0.045737,0.987627
