epoch,train_loss,train_acc,val_loss,val_acc
1,1.674952,0.376386,1.183266,0.503937
2,0.942806,0.612048,0.801639,0.616423
3,0.674562,0.728916,0.579602,0.779528
4,0.495413,0.797349,0.421414,0.835771
5,0.392609,0.849398,0.415951,0.824522
6,0.359900,0.859518,0.381916,0.845894
7,0.329581,0.869398,0.347525,0.877390
8,0.295540,0.887229,0.293558,0.898763
9,0.274465,0.899036,0.332652,0.865017
10,0.223992,0.918554,0.218023,0.931384
11,0.213498,0.926024,0.237432,0.919010
12,0.191870,0.927711,0.207835,0.943757
13,0.142877,0.951325,0.265017,0.905512
14,0.214968,0.923373,0.184452,0.933633
15,0.137742,0.954940,0.153749,0.940382
16,0.119533,0.958313,0.153466,0.943757
17,0.091140,0.966988,0.106270,0.962880
18,0.097872,0.966024,0.111706,0.950506
19,0.066113,0.976386,0.066021,0.974128
20,0.048095,0.984578,0.068945,0.974128
21,0.052437,0.983373,0.080531,0.958380
22,0.043705,0.985301,0.050003,0.979753
23,0.033780,0.988916,0.055534,0.980877
24,0.032684,0.987470,0.034989,0.987627
25,0.026753,0.991566,0.030456,0.986502
26,0.020439,0.994217,0.035140,0.987627
27,0.018260,0.994217,0.024565,0.993251
28,0.013857,0.996627,0.025664,0.989876
29,0.015885,0.995904,0.025628,0.992126
30,0.015706,0.994940,0.026470,0.992126
