epoch,train_loss,train_acc,val_loss,val_acc
1,3.483396,0.084657,3.054240,0.153110
2,3.065006,0.152681,2.722098,0.263158
3,2.790804,0.215243,2.430798,0.293062
4,2.494477,0.288481,2.191418,0.362440
5,2.277034,0.329444,2.061835,0.386364
6,2.096834,0.380338,1.982354,0.394737
7,1.944767,0.415591,1.710925,0.470096
8,1.790067,0.467229,1.552125,0.541866
9,1.705603,0.498014,1.450925,0.540670
10,1.565191,0.523833,1.383806,0.570574
11,1.527022,0.538977,1.335672,0.581340
12,1.434119,0.558590,1.316933,0.584928
13,1.383256,0.580437,1.198826,0.620813
14,1.310823,0.597319,1.140796,0.651914
15,1.306301,0.605511,1.164356,0.632775
16,1.232001,0.627607,1.082066,0.650718
17,1.217108,0.631579,1.069261,0.672249
18,1.172695,0.651688,1.054198,0.668660
19,1.165544,0.642751,1.059586,0.666268
20,1.158223,0.651688,1.049487,0.669856
