epoch,train_loss,train_acc,val_loss,val_acc
1,1.650443,0.438918,1.062205,0.581967
2,0.991357,0.600349,1.018319,0.565574
3,0.959927,0.614311,0.871689,0.639344
4,0.916011,0.627400,0.846817,0.561475
5,0.913093,0.612565,0.849222,0.651639
6,0.832838,0.657941,0.891690,0.569672
7,0.796059,0.696335,0.809169,0.614754
8,0.751831,0.691972,0.846310,0.663934
9,0.754076,0.693717,0.920424,0.635246
10,0.687574,0.739092,0.717756,0.709016
11,0.664338,0.754799,0.633671,0.741803
12,0.645983,0.749564,0.659230,0.758197
13,0.661316,0.750436,0.726907,0.713115
14,0.674167,0.750436,0.630698,0.725410
15,0.577046,0.774869,0.613473,0.745902
16,0.626203,0.762653,0.630368,0.766393
17,0.561540,0.784468,0.630395,0.745902
18,0.538844,0.802792,0.614906,0.745902
19,0.504385,0.815881,0.614714,0.745902
20,0.519705,0.800175,0.605503,0.745902
