epoch,train_loss,train_acc,val_loss,val_acc
1,2.763532,0.092552,2.519333,0.125000
2,2.533769,0.116150,2.531897,0.145833
3,2.512570,0.134587,2.534086,0.119792
4,2.500129,0.133112,2.564172,0.076389
5,2.474510,0.132743,2.429168,0.159722
6,2.469824,0.129794,2.423217,0.154514
7,2.459769,0.139012,2.485899,0.121528
8,2.447191,0.151180,2.429340,0.184028
9,2.427876,0.165192,2.393342,0.171875
10,2.388842,0.169248,2.342361,0.185764
11,2.384342,0.182522,2.330409,0.204861
12,2.311341,0.209808,2.330030,0.208333
13,2.348100,0.188791,2.303710,0.229167
14,2.291799,0.224926,2.278237,0.229167
15,2.271534,0.221608,2.281264,0.211806
16,2.278728,0.210914,2.261175,0.250000
17,2.256256,0.229351,2.265749,0.234375
18,2.225137,0.237463,2.249297,0.229167
19,2.198608,0.245575,2.254954,0.246528
20,2.205626,0.252212,2.195383,0.250000
21,2.200826,0.250000,2.200512,0.251736
22,2.195345,0.247419,2.215293,0.263889
23,2.160946,0.263274,2.211219,0.244792
24,2.162130,0.278392,2.178932,0.250000
25,2.143570,0.277655,2.198709,0.260417
26,2.152731,0.271386,2.173849,0.277778
27,2.136188,0.273968,2.176510,0.263889
28,2.136904,0.280236,2.175441,0.270833
29,2.159002,0.275442,2.175189,0.265625
30,2.124403,0.287611,2.174334,0.263889
