epoch,train_loss,train_acc,val_loss,val_acc
1,1.339822,0.463481,1.111130,0.460064
2,0.872549,0.613311,0.698564,0.680511
3,0.644001,0.707509,0.645004,0.718850
4,0.559199,0.758362,0.524816,0.769968
5,0.476429,0.796587,0.426080,0.822684
6,0.390585,0.842662,0.546559,0.795527
7,0.421643,0.830375,0.559326,0.774760
8,0.362022,0.849147,0.520019,0.833866
9,0.349290,0.865188,0.439150,0.833866
10,0.335855,0.867235,0.315007,0.883387
11,0.386756,0.844369,0.293284,0.891374
12,0.307826,0.874061,0.371052,0.859425
13,0.284118,0.891126,0.340180,0.862620
14,0.315055,0.877474,0.321443,0.870607
15,0.289678,0.893174,0.261838,0.897764
16,0.248813,0.904778,0.303084,0.881789
17,0.264559,0.893515,0.234643,0.908946
18,0.257372,0.905119,0.306531,0.876997
19,0.241159,0.911945,0.214219,0.918530
20,0.227282,0.911945,0.274196,0.897764
21,0.241299,0.913993,0.233423,0.915335
22,0.207806,0.923208,0.280600,0.889776
23,0.242774,0.907509,0.236667,0.907348
24,0.232390,0.909556,0.212426,0.915335
25,0.194563,0.922184,0.215291,0.916933
26,0.211326,0.920819,0.230679,0.907348
27,0.246865,0.901365,0.232891,0.908946
28,0.206440,0.916382,0.220636,0.913738
29,0.222550,0.912969,0.220783,0.910543
30,0.202710,0.925597,0.219004,0.912141
