epoch,train_loss,train_acc,val_loss,val_acc
1,2.746179,0.103982,2.586728,0.118056
2,2.550246,0.115413,2.573001,0.092014
3,2.533832,0.111726,2.556483,0.116319
4,2.518095,0.119100,2.519431,0.142361
5,2.477136,0.138643,2.483765,0.128472
6,2.461523,0.132375,2.474415,0.157986
7,2.416365,0.161873,2.407208,0.182292
8,2.402666,0.170723,2.406587,0.142361
9,2.386000,0.165192,2.356891,0.197917
10,2.359340,0.176254,2.350613,0.204861
11,2.340828,0.192478,2.323739,0.197917
12,2.328082,0.208333,2.297543,0.230903
13,2.268341,0.229720,2.306831,0.210069
14,2.274200,0.210914,2.251536,0.218750
15,2.238253,0.227139,2.286786,0.203125
16,2.213577,0.244469,2.259706,0.241319
17,2.229570,0.239307,2.240330,0.241319
18,2.189172,0.240782,2.229547,0.241319
19,2.188921,0.258112,2.218365,0.250000
20,2.197617,0.256268,2.217955,0.250000
