epoch,train_loss,train_acc,val_loss,val_acc
1,3.471639,0.076713,3.067977,0.178230
2,3.030186,0.165343,2.793998,0.239234
3,2.666443,0.234856,2.440028,0.287081
4,2.408911,0.305114,2.137045,0.400718
5,2.179385,0.351539,1.993828,0.419856
6,1.923961,0.424777,1.616518,0.500000
7,1.715753,0.484359,1.566702,0.513158
8,1.631691,0.496524,1.447206,0.550239
9,1.513179,0.536991,1.343111,0.589713
10,1.485702,0.546177,1.423750,0.574163
11,1.339288,0.590616,1.166110,0.627990
12,1.270675,0.613208,1.068595,0.686603
13,1.202268,0.633565,0.992850,0.705742
14,1.125508,0.655909,0.983375,0.710526
15,1.103636,0.668073,0.943087,0.704545
16,1.024387,0.686445,0.885985,0.727273
17,1.009674,0.689921,0.841921,0.752392
18,0.982261,0.701589,0.830826,0.747608
19,0.940897,0.711519,0.831773,0.753589
20,0.923615,0.720705,0.826345,0.753589
