epoch,train_loss,train_acc,val_loss,val_acc
1,4.633262,0.044540,4.273400,0.064655
2,4.199429,0.053161,4.043188,0.081897
3,4.005967,0.070402,3.903141,0.081897
4,3.762878,0.092672,3.849092,0.107759
5,3.715099,0.093391,3.690236,0.120690
6,3.595407,0.109195,3.617958,0.120690
7,3.523796,0.099856,3.508610,0.137931
8,3.415651,0.098420,3.457494,0.146552
9,3.281405,0.135057,3.418720,0.142241
10,3.229739,0.143678,3.279621,0.168103
11,3.130929,0.178879,3.248689,0.168103
12,3.081804,0.170977,3.202642,0.202586
13,3.035795,0.181034,3.140757,0.202586
14,2.929724,0.219109,3.144172,0.206897
15,2.905205,0.216236,3.103675,0.198276
16,2.923918,0.216954,3.081798,0.202586
17,2.954134,0.209770,3.046141,0.224138
18,2.850094,0.254310,3.041044,0.215517
19,2.873796,0.252155,3.035191,0.224138
20,2.893228,0.216236,3.035243,0.219828
