epoch,train_loss,train_acc,val_loss,val_acc
1,1.734145,0.424084,1.136570,0.442623
2,1.162948,0.531414,0.931125,0.532787
3,0.986076,0.590750,0.950822,0.561475
4,0.945518,0.600349,0.880144,0.680328
5,0.956400,0.597731,0.805578,0.610656
6,0.819799,0.669284,0.758428,0.663934
7,0.834117,0.664049,0.809224,0.663934
8,0.764472,0.704188,0.831463,0.622951
9,0.760617,0.693717,0.714515,0.704918
10,0.750784,0.685864,0.816854,0.577869
11,0.820847,0.651832,0.735308,0.717213
12,0.668349,0.719895,0.719866,0.672131
13,0.641375,0.731239,0.787877,0.688525
14,0.646154,0.742583,0.688648,0.717213
15,0.677314,0.739965,0.650166,0.737705
16,0.642269,0.735602,0.641706,0.737705
17,0.627155,0.739965,0.607376,0.725410
18,0.561893,0.778360,0.549168,0.799180
19,0.541619,0.799302,0.618319,0.758197
20,0.520834,0.794066,0.789055,0.688525
21,0.523568,0.807155,0.619101,0.754098
22,0.502164,0.794939,0.552415,0.807377
23,0.476745,0.816754,0.599328,0.778689
24,0.524187,0.807155,0.576069,0.766393
25,0.539423,0.803665,0.585582,0.754098
26,0.519064,0.797557,0.488356,0.836066
27,0.483994,0.817627,0.511237,0.811475
28,0.451594,0.845550,0.458666,0.848361
29,0.447046,0.845550,0.491687,0.831967
30,0.511189,0.812391,0.443002,0.840164
31,0.445231,0.831588,0.499799,0.819672
32,0.383997,0.870855,0.488220,0.819672
33,0.385692,0.862129,0.435659,0.852459
34,0.442151,0.846422,0.493477,0.815574
35,0.429551,0.841187,0.447630,0.848361
36,0.446963,0.825480,0.462671,0.831967
37,0.402655,0.856894,0.445837,0.848361
38,0.411378,0.862129,0.460213,0.831967
39,0.391282,0.863002,0.461005,0.827869
40,0.462374,0.856894,0.458803,0.836066
