epoch,train_loss,train_acc,val_loss,val_acc
1,4.590514,0.038075,4.194618,0.060345
2,4.265943,0.051006,4.085576,0.099138
3,4.060053,0.060345,3.878797,0.086207
4,3.848776,0.073276,3.758560,0.103448
5,3.682813,0.096264,3.701829,0.125000
6,3.605982,0.108477,3.627654,0.146552
7,3.498946,0.114943,3.539391,0.125000
8,3.445247,0.148707,3.471271,0.120690
9,3.364635,0.150862,3.430354,0.137931
10,3.249872,0.141523,3.355827,0.159483
11,3.187298,0.178879,3.261156,0.193966
12,3.045951,0.171695,3.167127,0.189655
13,2.994382,0.211925,3.135237,0.206897
14,2.941499,0.197557,3.057047,0.219828
15,2.871102,0.219109,2.984040,0.189655
16,2.872929,0.229167,2.954847,0.241379
17,2.741398,0.232759,2.881770,0.232759
18,2.748224,0.262213,2.882096,0.215517
19,2.699884,0.268678,2.836133,0.228448
20,2.700182,0.255747,2.734752,0.280172
21,2.520674,0.300287,2.740996,0.271552
22,2.503684,0.296695,2.701305,0.275862
23,2.484739,0.289511,2.694868,0.297414
24,2.463569,0.311782,2.699403,0.250000
25,2.475008,0.294540,2.601722,0.336207
26,2.313704,0.353448,2.588468,0.331897
27,2.356260,0.334770,2.554455,0.349138
28,2.349670,0.334052,2.584187,0.340517
29,2.341788,0.349138,2.578027,0.293103
30,2.340307,0.353448,2.509461,0.362069
31,2.269796,0.380747,2.507103,0.387931
32,2.271049,0.380029,2.491692,0.392241
33,2.279522,0.367816,2.464629,0.383621
34,2.256720,0.380747,2.473475,0.349138
35,2.268842,0.383621,2.460913,0.375000
36,2.245331,0.392241,2.456157,0.387931
37,2.202166,0.394397,2.453460,0.396552
38,2.214039,0.414511,2.451310,0.392241
39,2.253870,0.385776,2.447629,0.392241
40,2.142884,0.427443,2.446883,0.392241
